Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
2020-07-22,11132.599609375,11238.099609375,11056.5498046875,11231.2001953125,765100,10099.61103515625,,72.18014946332063
2020-07-23,11215.4501953125,11239.7998046875,11103.150390625,11135.0,621600,10136.24904296875,,72.74626767534711
2020-07-24,11194.150390625,11225.400390625,11090.2998046875,11149.9501953125,678900,10177.27705078125,,67.91207791025758
2020-07-27,11131.7998046875,11225.0,11087.849609375,11225.0,588100,10217.1760546875,,63.52340744970088
2020-07-28,11300.5498046875,11317.75,11151.400390625,11154.099609375,683900,10266.72205078125,,72.82593786562913
2020-07-29,11202.849609375,11341.400390625,11149.75,11276.900390625,600700,10313.19705078125,,65.05910797600785
2020-07-30,11102.150390625,11299.9501953125,11084.9501953125,11254.2998046875,677800,10353.9090625,,62.39059685243441
2020-07-31,11073.4501953125,11150.400390625,11026.650390625,11139.5,642600,10393.25306640625,,60.08566235905435
2020-08-03,10891.599609375,11058.0498046875,10882.25,11057.5498046875,680900,10430.30005859375,,60.696127269333154
2020-08-04,11095.25,11112.25,10908.099609375,10946.650390625,625700,10471.6240625,,65.67642382975338
2020-08-05,11101.650390625,11225.650390625,11064.0498046875,11155.75,667600,10507.35806640625,,62.86088901636236
2020-08-06,11200.150390625,11256.7998046875,11127.2998046875,11185.7001953125,600400,10541.55908203125,,61.11172113093312
2020-08-07,11214.0498046875,11231.900390625,11142.0498046875,11186.650390625,452600,10574.23408203125,,57.75869967709933
2020-08-10,11270.150390625,11337.2998046875,11238.0,11270.25,492000,10603.11408203125,,54.68154161652797
2020-08-11,11322.5,11373.599609375,11299.150390625,11322.25,586100,10629.98208984375,,58.08016926728408
2020-08-12,11308.400390625,11322.0,11242.650390625,11289.0,609900,10654.9191015625,,54.20075681677955
2020-08-13,11300.4501953125,11359.2998046875,11269.9501953125,11334.849609375,562400,10680.34611328125,,54.862749758093265
2020-08-14,11178.400390625,11366.25,11111.4501953125,11353.2998046875,645100,10701.07111328125,,52.02136627229712
2020-08-17,11247.099609375,11267.099609375,11144.5,11248.900390625,634000,10722.6641015625,,47.461158739156126
2020-08-18,11385.349609375,11401.7001953125,11253.150390625,11259.7998046875,579200,10749.4380859375,,58.347060484029456
2020-08-19,11408.400390625,11460.349609375,11394.099609375,11452.150390625,626200,10775.2830859375,,65.07802493259123
2020-08-20,11312.2001953125,11361.4501953125,11289.7998046875,11317.4501953125,791600,10803.48708984375,,61.02210552511893
2020-08-21,11371.599609375,11418.5,11362.2001953125,11409.650390625,668700,10831.46107421875,,74.98439491935173
2020-08-24,11466.4501953125,11497.25,11410.650390625,11412.0,532900,10864.51607421875,,71.78916884400333
2020-08-25,11472.25,11525.900390625,11423.349609375,11513.099609375,638200,10895.68107421875,,71.76926395205294
2020-08-26,11549.599609375,11561.75,11461.849609375,11512.849609375,743400,10929.05005859375,,71.04991940892032
2020-08-27,11559.25,11617.349609375,11540.599609375,11609.2998046875,719800,10958.40205078125,,70.90096130763382
2020-08-28,11647.599609375,11686.0498046875,11589.400390625,11602.9501953125,807000,10986.46603515625,,71.99462352129764
2020-08-31,11387.5,11794.25,11325.849609375,11777.5498046875,1371800,11007.99203125,,53.04935595183337
2020-09-01,11470.25,11553.5498046875,11366.900390625,11464.2998046875,783800,11027.97703125,,57.133400362923915
2020-09-02,11535.0,11554.75,11430.400390625,11478.5498046875,593500,11052.57103515625,,59.84470081707504
2020-09-03,11527.4501953125,11584.9501953125,11507.650390625,11566.2001953125,607100,11077.34203125,,66.20850342511412
2020-09-04,11333.849609375,11452.0498046875,11303.650390625,11354.400390625,681300,11096.3590234375,,53.60961893229526
2020-09-07,11355.0498046875,11381.150390625,11251.7001953125,11359.599609375,560300,11117.21201171875,,48.60318143469794
2020-09-08,11317.349609375,11437.25,11290.4501953125,11378.5498046875,572200,11137.51701171875,,45.85850437798499
2020-09-09,11278.0,11298.150390625,11185.150390625,11218.599609375,728900,11154.476015625,,48.3595445828575
2020-09-10,11449.25,11464.0498046875,11327.400390625,11363.2998046875,679400,11172.42701171875,,53.36367297487546
2020-09-11,11464.4501953125,11493.5,11419.900390625,11447.7998046875,554800,11189.5690234375,,49.906942084170154
2020-09-14,11440.0498046875,11568.900390625,11383.5498046875,11540.150390625,642300,11203.09701171875,,48.527250751940485
2020-09-15,11521.7998046875,11535.9501953125,11442.25,11487.2001953125,506700,11217.54,,48.73361015638693
2020-09-16,11604.5498046875,11618.099609375,11516.75,11538.4501953125,527800,11235.51599609375,,51.934731234729476
2020-09-17,11516.099609375,11587.2001953125,11498.5,11539.400390625,0,11249.568984375,,44.3841855033781
2020-09-18,11504.9501953125,11584.099609375,11446.099609375,11584.099609375,764200,11264.3069921875,,56.37034879101672
2020-09-21,11250.5498046875,11535.25,11218.5,11503.7998046875,602900,11273.263984375,,39.9542753037522
2020-09-22,11153.650390625,11302.2001953125,11084.650390625,11301.75,672200,11284.19,,33.060921377051116
2020-09-23,11131.849609375,11259.5498046875,11024.400390625,11258.75,714900,11294.46298828125,,32.64759577780082
2020-09-24,10805.5498046875,11015.2998046875,10790.2001953125,11011.0,706100,11295.77498046875,,29.243298701677404
2020-09-25,11050.25,11072.599609375,10854.849609375,10910.400390625,559600,11298.7459765625,,39.81352565621437
2020-09-28,11227.5498046875,11239.349609375,11099.849609375,11140.849609375,472800,11302.85296875,,47.25500415831571
2020-09-29,11222.400390625,11305.400390625,11181.0,11288.599609375,498300,11304.0559765625,,48.26413957617858
2020-09-30,11247.5498046875,11295.400390625,11184.5498046875,11244.4501953125,499300,11306.35498046875,,43.070624003156354
2020-10-01,11416.9501953125,11428.599609375,11347.0498046875,11364.4501953125,447700,11310.38498046875,,48.52447777312632
2020-10-05,11503.349609375,11578.0498046875,11452.2998046875,11487.7998046875,530600,11316.56896484375,,51.8933912556807
2020-10-06,11662.400390625,11680.2998046875,11564.2998046875,11603.4501953125,561400,11327.1809765625,,54.01968760487203
2020-10-07,11738.849609375,11763.0498046875,11629.349609375,11679.25,513400,11335.94697265625,,53.85343481162798
2020-10-08,11834.599609375,11905.7001953125,11791.150390625,11835.400390625,608800,11348.58197265625,,59.10052815565189
2020-10-09,11914.2001953125,11938.599609375,11805.2001953125,11852.0498046875,611100,11364.82296875,,61.25333648408423
2020-10-12,11930.9501953125,12022.0498046875,11867.2001953125,11973.5498046875,522600,11381.97296875,,71.52213345063375
2020-10-13,11934.5,11988.2001953125,11888.900390625,11934.650390625,458300,11402.8309765625,,76.2496996151134
2020-10-14,11971.0498046875,11997.2001953125,11822.150390625,11917.400390625,569200,11420.34697265625,,77.9342573443795
2020-10-15,11680.349609375,12025.4501953125,11661.2998046875,12023.4501953125,608900,11431.92095703125,,79.82612980665182
2020-10-16,11762.4501953125,11789.75,11667.849609375,11727.400390625,555800,11443.166953125,,77.31039632472609
2020-10-19,11873.0498046875,11898.25,11820.400390625,11879.2001953125,541400,11456.346953125,10722.562255859375,76.08714870722997
2020-10-20,11896.7998046875,11949.25,11837.25,11861.0,453600,11468.87994140625,10721.133754882812,76.85139030700523
2020-10-21,11937.650390625,12018.650390625,11775.75,11958.5498046875,623700,11481.18294921875,10719.411005859374,77.13724167964013
2020-10-22,11896.4501953125,11939.5498046875,11823.4501953125,11890.0,544900,11492.9439453125,10717.760004882812,70.96998479594103
2020-10-23,11930.349609375,11974.5498046875,11908.75,11957.900390625,502300,11505.54193359375,10717.44650390625,69.57277659403033
2020-10-26,11767.75,11942.849609375,11711.7001953125,11937.400390625,519800,11517.32892578125,10716.020502929687,54.81334339924363
2020-10-27,11889.400390625,11899.0498046875,11723.0,11807.099609375,616300,11530.17494140625,10715.340756835938,56.60570742994258
2020-10-28,11729.599609375,11929.400390625,11684.849609375,11922.599609375,704000,11537.05994140625,10712.909252929687,45.63809140535243
2020-10-29,11670.7998046875,11744.150390625,11606.4501953125,11633.2998046875,555000,11542.3079296875,10709.979252929688,39.710845880243205
2020-10-30,11642.400390625,11748.9501953125,11535.4501953125,11678.4501953125,553700,11548.91193359375,10706.543505859376,37.92122912198914
2020-11-02,11669.150390625,11725.650390625,11557.400390625,11697.349609375,568400,11554.86294921875,10703.077758789062,39.104031361629154
2020-11-03,11813.5,11836.2001953125,11723.2998046875,11734.4501953125,674300,11561.8039453125,10700.428759765626,44.05674369189124
2020-11-04,11908.5,11929.650390625,11756.400390625,11783.349609375,667300,11570.5289453125,10698.193759765625,60.09738396215977
2020-11-05,12120.2998046875,12131.099609375,12027.599609375,12062.400390625,632500,11581.94294921875,10697.033510742187,64.20659142296205
2020-11-06,12263.5498046875,12280.400390625,12131.849609375,12156.650390625,576800,11596.0289453125,10697.228510742187,65.11106408386301
2020-11-09,12461.0498046875,12474.0498046875,12367.349609375,12399.400390625,553400,11612.29794921875,10698.68451171875,69.24651739139125
2020-11-10,12631.099609375,12643.900390625,12475.25,12556.400390625,847500,11637.16994140625,10701.3055078125,71.7375545664379
2020-11-11,12749.150390625,12769.75,12571.099609375,12680.599609375,880500,11662.74794921875,10704.14951171875,75.50094186708722
2020-11-12,12690.7998046875,12741.150390625,12624.849609375,12702.150390625,622000,11685.8639453125,10706.362260742188,72.41429930866066
2020-11-13,12719.9501953125,12735.9501953125,12607.7001953125,12659.7001953125,513900,11709.7139453125,10709.36701171875,80.46258117446081
2020-11-17,12874.2001953125,12934.0498046875,12797.099609375,12932.5,707700,11740.52095703125,10713.459013671874,80.86177379876153
2020-11-18,12938.25,12948.849609375,12819.349609375,12860.099609375,731300,11772.1849609375,10717.502763671875,90.29506219786632
2020-11-19,12771.7001953125,12963.0,12745.75,12839.5,768800,11801.27197265625,10721.182265625,84.24262490279938
2020-11-20,12859.0498046875,12892.4501953125,12730.25,12813.400390625,664000,11832.89296875,10725.667016601563,86.50422369311639
2020-11-23,12926.4501953125,12968.849609375,12825.7001953125,12960.2998046875,633100,11862.43697265625,10731.759765625,86.82559232433923
2020-11-24,13055.150390625,13079.099609375,12978.0,13002.599609375,571900,11894.2509765625,10737.137265625,86.70370186473107
2020-11-25,12858.400390625,13145.849609375,12833.650390625,13130.0,679000,11922.61798828125,10740.983515625,76.4861635583187
2020-11-26,12987.0,13018.0,12790.400390625,12906.4501953125,549800,11951.9219921875,10745.228764648438,75.34209650145256
2020-11-27,12968.9501953125,13035.2998046875,12914.2998046875,13012.0498046875,1162400,11979.21,10749.581767578125,72.25517550756823
2020-12-01,13109.0498046875,13128.400390625,12962.7998046875,13062.2001953125,583600,12011.06900390625,10754.969516601563,71.21251257945677
2020-12-02,13113.75,13128.5,12983.5498046875,13121.400390625,717700,12043.245,10759.998764648437,67.71778252577542
2020-12-03,13133.900390625,13216.599609375,13107.900390625,13215.2998046875,713700,12080.91201171875,10764.662265625,65.21773053480521
2020-12-04,13258.5498046875,13280.0498046875,13152.849609375,13177.400390625,640500,12123.01,10770.081762695312,71.33677828505996
2020-12-07,13355.75,13366.650390625,13241.9501953125,13264.849609375,591700,12167.4880078125,10776.29326171875,72.73150692392723
2020-12-08,13392.9501953125,13435.4501953125,13311.0498046875,13393.849609375,543200,12219.236015625,10783.029013671876,70.24075524842173
2020-12-09,13529.099609375,13548.900390625,13449.599609375,13458.099609375,502600,12268.8130078125,10790.71201171875,71.82594366371964
2020-12-10,13478.2998046875,13503.5498046875,13399.2998046875,13488.5,553400,12313.8280078125,10797.474008789062,78.54258678065429
2020-12-11,13513.849609375,13579.349609375,13402.849609375,13512.2998046875,787700,12359.6569921875,10804.639008789063,77.60541078649575
2020-12-14,13558.150390625,13597.5,13472.4501953125,13571.4501953125,558400,12405.86900390625,10813.282758789062,77.16056899133278
2020-12-15,13567.849609375,13589.650390625,13447.0498046875,13547.2001953125,497600,12448.8869921875,10822.132504882813,74.5569492362613
2020-12-16,13682.7001953125,13692.349609375,13606.4501953125,13663.099609375,462200,12492.47400390625,10832.153505859374,92.84306868327366
2020-12-17,13740.7001953125,13773.25,13673.5498046875,13713.5498046875,416000,12534.04,10842.6905078125,92.276233494341
2020-12-18,13760.5498046875,13772.849609375,13658.599609375,13764.400390625,519400,12574.47400390625,10855.484506835937,94.3126008597956
2020-12-21,13328.400390625,13777.5,13131.4501953125,13741.900390625,687300,12604.35001953125,10866.462758789063,59.25335442594721
2020-12-22,13466.2998046875,13492.0498046875,13192.900390625,13373.650390625,696200,12635.39201171875,10877.277758789063,63.36987654906224
2020-12-23,13601.099609375,13619.4501953125,13432.2001953125,13473.5,458700,12668.795,10889.028256835938,66.30032736123945
